date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2023-05-25,60.541666666666664,49.44583333333333,679.9166666666666,65.22916666666667,77.71666666666667,18.083333333333332,,4.458333333333333,,124.41666666666667,76.20833333333333
2023-05-26,31.09166666666667,24.420833333333334,439.9166666666667,51.175000000000004,34.204166666666666,40.708333333333336,,1.0833333333333333,,102.75,68.70833333333333
2023-05-27,21.47083333333333,16.8125,305.875,31.695833333333336,17.041666666666668,53.166666666666664,,0.125,,70.70833333333333,47.291666666666664
2023-05-28,12.904166666666667,9.575000000000001,215.20833333333334,22.829166666666666,13.3125,43.75,,0.0,,44.25,23.333333333333332
2023-05-29,19.150000000000002,14.966666666666667,303.875,39.59166666666667,28.516666666666666,41.833333333333336,,0.0,,50.125,27.333333333333332
2023-05-30,36.61666666666667,27.995833333333334,468.375,60.71666666666667,58.30416666666667,41.041666666666664,,0.0,,70.91666666666667,48.166666666666664
2023-05-31,19.337500000000002,15.333333333333334,291.8333333333333,40.833333333333336,21.579166666666666,40.25,,0.0,,71.5,47.666666666666664
2023-06-01,20.466666666666665,16.858333333333334,302.75,38.82083333333333,22.1875,40.583333333333336,,0.0,,58.958333333333336,32.333333333333336
2023-06-02,30.733333333333334,23.84583333333333,380.625,46.20416666666667,36.87083333333333,38.541666666666664,,0.0,,66.75,41.916666666666664
2023-06-03,19.229166666666668,14.991666666666667,262.2083333333333,37.175000000000004,18.212500000000002,34.208333333333336,,0.0,,68.20833333333333,44.458333333333336
2023-06-04,13.787500000000001,10.354166666666666,218.79166666666666,27.425,15.241666666666667,38.125,,0.0,,45.25,23.458333333333332
2023-06-05,17.191666666666666,13.516666666666666,258.5,32.125,19.316666666666666,36.041666666666664,,0.0,,48.875,24.125
2023-06-06,19.808333333333334,15.816666666666668,296.8333333333333,33.97083333333333,19.470833333333335,34.083333333333336,,0.0,,57.291666666666664,30.916666666666668
2023-06-07,20.916666666666668,15.345833333333333,288.875,34.1,20.441666666666666,38.916666666666664,,0.3333333333333333,,57.041666666666664,30.75
2023-06-08,30.141666666666666,23.1125,399.5416666666667,50.362500000000004,38.895833333333336,39.166666666666664,,0.0,,64.95833333333333,38.916666666666664
2023-06-09,23.0125,16.945833333333333,331.8333333333333,40.324999999999996,23.704166666666666,43.125,,0.125,,69.79166666666667,45.708333333333336
2023-06-10,12.195833333333333,8.8375,185.66666666666666,26.075,12.983333333333334,35.083333333333336,,0.0,,46.458333333333336,23.041666666666668
2023-06-11,12.433333333333332,9.708333333333334,177.95833333333334,20.445833333333333,12.012500000000001,44.875,,0.0,,39.166666666666664,21.166666666666668
2023-06-12,12.708333333333334,9.720833333333333,191.58333333333334,20.979166666666668,13.375,46.208333333333336,,0.0,,40.166666666666664,22.166666666666668
2023-06-13,18.191666666666666,14.575000000000001,235.70833333333334,26.791666666666668,16.55,47.916666666666664,,0.0,,48.958333333333336,25.458333333333332
2023-06-14,24.037499999999998,18.795833333333334,314.0833333333333,34.824999999999996,26.629166666666666,47.333333333333336,,0.0,,61.875,35.208333333333336
2023-06-15,23.520833333333332,19.1875,297.75,39.166666666666664,25.566666666666666,55.041666666666664,,0.0,,64.125,37.375
2023-06-16,29.837500000000002,23.779166666666665,401.0,57.50833333333333,35.391666666666666,40.291666666666664,,0.0,,72.45833333333333,50.125
2023-06-17,20.7625,15.262500000000001,283.625,31.53333333333333,19.983333333333334,43.166666666666664,,0.0,,64.25,38.833333333333336
2023-06-18,17.891666666666666,12.737499999999999,229.95833333333334,29.083333333333332,20.266666666666666,41.291666666666664,,0.0,,52.75,26.541666666666668
2023-06-19,16.7625,12.841666666666667,243.45833333333334,37.516666666666666,24.941666666666666,36.833333333333336,,0.0,,49.583333333333336,25.75
2023-06-20,24.233333333333334,18.537499999999998,333.0416666666667,37.44166666666667,24.304166666666664,30.458333333333332,,0.0,,65.45833333333333,40.166666666666664
2023-06-21,23.1375,17.570833333333333,296.875,36.737500000000004,29.979166666666668,34.541666666666664,,0.0,,58.333333333333336,31.625
2023-06-22,32.05416666666667,25.645833333333332,379.6666666666667,42.99583333333334,38.829166666666666,38.541666666666664,,0.0,,75.16666666666667,54.041666666666664
2023-06-23,35.199999999999996,27.90833333333333,438.0,50.862500000000004,46.0875,29.458333333333332,,0.041666666666666664,,70.75,47.291666666666664
2023-06-24,19.025000000000002,14.575000000000001,282.125,35.55416666666667,15.220833333333333,33.375,,0.0,,74.95833333333333,51.291666666666664
2023-06-25,39.07083333333333,31.03333333333333,404.4166666666667,42.15833333333333,41.30416666666667,40.416666666666664,,0.0,,76.41666666666667,53.083333333333336
2023-06-26,25.291666666666668,20.25,307.7916666666667,36.729166666666664,26.820833333333336,35.125,,0.0,,78.45833333333333,56.291666666666664
2023-06-27,21.829166666666666,16.808333333333334,283.0833333333333,31.34166666666667,24.15416666666667,35.75,,0.0,,59.833333333333336,33.291666666666664
2023-06-28,22.90416666666667,18.233333333333334,290.25,33.17916666666667,25.133333333333336,36.583333333333336,,0.3333333333333333,,64.45833333333333,37.625
2023-06-29,19.383333333333333,14.7875,282.625,29.991666666666664,27.912499999999998,43.875,,0.08333333333333333,,57.75,31.291666666666668
2023-06-30,24.208333333333332,19.254166666666666,373.1666666666667,44.225,30.175,26.041666666666668,,0.0,,57.875,31.708333333333332
2023-07-01,15.549999999999999,12.766666666666666,248.375,24.358333333333334,11.770833333333334,41.666666666666664,,0.0,,62.125,35.541666666666664
2023-07-02,16.425,11.766666666666666,257.1666666666667,25.266666666666666,12.75,47.0,,0.0,,47.666666666666664,24.916666666666668
2023-07-03,16.470833333333335,11.637500000000001,271.8333333333333,27.5125,16.679166666666667,49.0,,0.0,,50.375,26.291666666666668
